sample_key,dataset_partition,sample_id,site_token,nominal_level_token,sequence_token,uav_E,uav_N,gps_member,uav_member,coordinate_schema,crs_status,nominal_level_status,uav_crc32,uav_file_size,query_id,sequence_index,ordered_group_id,sequence_provenance,verified_timestamp_available,verified_fixed_frame_interval
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000028,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000028,Chuanmei,100,28,120.33643852777776,30.324084555555554,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000028/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000028/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,1968199047,44251,q_000028,28,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000029,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000029,Chuanmei,100,29,120.33623238888887,30.32408472222222,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000029/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000029/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,648673003,44073,q_000029,29,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000030,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000030,Chuanmei,100,30,120.33602333333332,30.324085,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000030/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000030/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,1886476366,44910,q_000030,30,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000031,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000031,Chuanmei,100,31,120.33579786111112,30.32407788888889,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000031/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000031/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,3805855346,44853,q_000031,31,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000032,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000032,Chuanmei,100,32,120.33560627777776,30.324090527777777,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000032/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000032/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,3556570432,44707,q_000032,32,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000033,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000033,Chuanmei,100,33,120.33539594444444,30.324085166666663,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000033/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000033/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2405768749,44858,q_000033,33,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000034,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000034,Chuanmei,100,34,120.33539447222222,30.323906416666667,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000034/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000034/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,1982305499,46745,q_000034,34,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000035,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000035,Chuanmei,100,35,120.3356095,30.323906722222222,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000035/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000035/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2090013395,47171,q_000035,35,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000036,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000036,Chuanmei,100,36,120.33581380555556,30.32390683333333,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000036/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000036/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,802097415,46958,q_000036,36,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000037,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000037,Chuanmei,100,37,120.33602108333334,30.323909083333334,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000037/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000037/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,1661802727,46537,q_000037,37,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000038,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000038,Chuanmei,100,38,120.33622586111112,30.32391147222222,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000038/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000038/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,2739402096,45287,q_000038,38,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000039,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000039,Chuanmei,100,39,120.33643275,30.32391283333333,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000039/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000039/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,4045634036,45406,q_000039,39,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000040,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000040,Chuanmei,100,40,120.33664005555556,30.32391638888889,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000040/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000040/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,3630332884,44678,q_000040,40,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000041,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000041,Chuanmei,100,41,120.33684825,30.32391697222222,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000041/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000041/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,1070134085,45436,q_000041,41,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000042,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000042,Chuanmei,100,42,120.33705827777776,30.32391794444445,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000042/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000042/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,446949452,45992,q_000042,42,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000043,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000043,Chuanmei,100,43,120.337265,30.32392083333333,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000043/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000043/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,271663149,45975,q_000043,43,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000044,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000044,Chuanmei,100,44,120.337472,30.32392102777778,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000044/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000044/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,3996562957,46642,q_000044,44,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000045,merge_test_700-1800_cr0.95_stride100,Chuanmei_100_000045,Chuanmei,100,45,120.33768152777778,30.32392205555556,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000045/GPS_info.json,map2019/merge_test_700-1800_cr0.95_stride100/Chuanmei_100_000045/UAV/0.JPG,GEOGRAPHIC_DEGREES_EAST_NORTH,UNVERIFIED,NOT_VERIFIED_AS_AGL_OR_MSL,4236523050,46230,q_000045,45,Chuanmei__100,DATASET_SAMPLE_NAME_ORDERING,False,False
